entry_id,category,surface,reading,review_status,license,external_action_risk,source
DIALECT-f77b728e9b62,dialect,B円,bīen,needs-evidence,CC BY-SA 4.0 / GFDL,False,https://en.wiktionary.org/wiki/B%E5%86%86 | https://kaikki.org/dictionary/Japanese/kaikki.org-dictionary-Japanese.jsonl
DIALECT-e976130480e3,dialect,〜がね,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-9bfccc755203,dialect,〜くさ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-f9f0f22cbf70,dialect,〜けろ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-310c7f0ffec0,dialect,〜けん,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-69776462acb3,dialect,〜さぁ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-68448cbf5de7,dialect,〜さる,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-b671d0f0cd57,dialect,〜しとん,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-14e4a480f15b,dialect,〜しましょうね,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-bdfb735fb366,dialect,〜しょや,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-a25da0655795,dialect,〜しよる,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-1cde2704699b,dialect,〜じゃ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-f1714f075bcb,dialect,〜じゃろ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-3a691e641d29,dialect,〜じゃんね,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-92a1887db0dc,dialect,〜ずら,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-12ef70fbef80,dialect,〜ぜよ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-a0a5d453c101,dialect,〜ぞなもし,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-c2206be0875b,dialect,〜たい,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-9036dea26b1a,dialect,〜だがね,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-83b188c68435,dialect,〜だっちゃ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-e32874fde5ab,dialect,〜だはず,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-da95fd63170a,dialect,〜ちゃ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-e7c7420cb535,dialect,〜ちょる,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-fb49530ea421,dialect,〜と?,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-60b9b6fcad48,dialect,〜とよ,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
DIALECT-38d7ad11131f,dialect,〜とる,,needs-evidence,確認中,False,research/context_collection/CANDIDATE_SURFACES_2026-08-05.md
